"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40020634,,"Insight Early Learning Kelmscott Pty Ltd","Insight Early Learning Kelmscott","1 Pademelon Street",THROSBY,ACT,2914,19/08/2019,
PR-40029848,,"WONDERSCHOOL (TAYLOR) PTY LIMITED","Wonderschool (Taylor) Pty Ltd","Grenfell Ave",TAYLOR,ACT,2913,19/07/2022,
PR-40034654,,"Anglican Diocesan Services","St Luke's Early Learning Centre","LEVEL 4, 221 LONDON CIRCUIT",CANBERRA,ACT,2600,20/11/2023,
PR-40035088,,"MOVE EARLY LEARNING PTY LTD","MOVE EARLY LEARNING","U 3, L 2  28 Ainslie Pl",CANBERRA,ACT,2601,12/12/2023,
PR-40035221,,"L & M KHIPAL PTY LTD","Bright Future Early Learning","237 MacFarlane Burnet Ave",MACGREGOR,ACT,2615,02/01/2024,
PR-40004602,,"Genesis Professional Services Pty Ltd as Trustee for Emmanuel Family Trust","Genesis Family Day Care Services","1 Dittmer Pl",FADDEN,ACT,2904,17/06/2015,
PR-40003979,,"Covenant College Tuggeranong ACT Association Incorporated","Covenant Christian School","Covenant College, 1 Woodcock Drive",GORDON,ACT,2906,25/05/2015,
PR-40018942,,"ACTIVE GAMERS AUSTRALIA PTY LTD","Reload Labs","Sydney Building, 38 Northbourne Ave",CANBERRA,ACT,2601,21/05/2019,
PR-40019624,,"Geppetto Education Pty Ltd","Pinocchio Early Learning Centre Curtin","22 Theodore St",CURTIN,ACT,2605,10/07/2019,
PR-40026344,,"Insight Early Learning Southlakes Pty Ltd","Insight Early Learning Southlakes","1 Pademelon St",THROSBY,ACT,2914,28/05/2021,
PR-40001587,,"Seventh-day Adventist Schools (South New South Wales) Limited","Canberra Christian School","GPO Box 800",CANBERRA,ACT,2601,31/01/2014,
PR-40007989,,"Team Gump Pty Ltd as Trustee for Team Gump Trust","Team Gump Pty Ltd","Joint Technical Facility, 15 Wales Street",BELCONNEN,ACT,2617,28/06/2016,
PR-00005799,,"Ainslie Primary School P & C Assn After School Care Sub Committee","Ainslie Primary School P & C Assn After School Care Sub Committee","Ainslie Primary School, Donaldson Street",BRADDON,ACT,2612,01/01/2012,
PR-00005801,,"Anglicare NSW South NSW West and ACT","Anglicare Canberra and Goulburn","7 Freeman St",CONDER,ACT,2906,01/01/2012,
PR-00005802,,"Aranda Afters Association Incorporated","Aranda Afters Association Incorporated","Aranda Primary School, 1 Banambila St",ARANDA,ACT,2614,01/01/2012,
PR-00005803,,"Association For Learning Mandarin In Australia Incorporated","Chinese Australian Early Childhood Centre","50 Ainsworth Street",MAWSON,ACT,2607,01/01/2012,
PR-00005804,,"Australian Sports Commission","Australian Sports Commission","PO Box 176",BELCONNEN,ACT,2616,01/01/2012,
PR-00005806,,"Baringa Childcare Centre Incorporated","Baringa Childcare Centre","64 Baddeley Crescent",SPENCE,ACT,2615,01/01/2012,
PR-00005807,,"Capital Region Community Service Limited","Capital Region Community Service Limited","PO Box 679",BELCONNEN,ACT,2616,25/06/2012,
PR-00005808,,"Best Practice Education Group Limited","Blue Gum Early Learning Centre","114 Maitland St",HACKETT,ACT,2602,01/01/2012,
PR-00005809,,"Brindabella Christian Education Ltd","Brindabella Christian College","PO Box 5103",LYNEHAM,ACT,2602,01/01/2012,
PR-00005811,,"The Burgmann Anglican School","Burgmann Anglican School","Burgmann Anglican School, The Valley Avenue",GUNGAHLIN,ACT,2912,01/01/2012,
PR-00005813,,"Campbell Primary School Parents and Citizens Association Inc","Campbell Primary School Parents and Citizens Association Inc","Chauvel Street, Chauvel Street",CAMPBELL,ACT,2612,01/01/2012,
PR-00005815,,"Canberra Girls Grammar School","Canberra Girls Grammar School","Canberra Girls Grammar School, Grey Street",DEAKIN,ACT,2600,01/01/2012,
PR-00005816,,"Canberra Grammar School","Canberra Grammar School","Canberra Grammar School, 40 Monaro Cres","RED HILL ",ACT,2601,01/01/2012,
PR-00005817,,"Canberra Rudolf Steiner School Association Incorporated","Orana Steiner School","PO Box 3567",WESTON,ACT,2611,01/01/2012,
PR-00005820,,"Celine D'Elboux","Celine Delboux","PO Box 521, Erindale centre",WANNIASSA,ACT,2903,01/01/2012,
PR-00005822,,"Chapman Primary School Parents and Citizens Association Incorporated","Chapman Primary School Parents and Citizens Association Incorporated","c/- Chapman Primary School, Perry Drive",CHAPMAN,ACT,2611,01/01/2012,
PR-00005824,,Communities@Work,Communities@Work,"PO Box 1066","TUGGERANONG ",ACT,2901,01/01/2012,
PR-00005825,,"Community Services of Gungahlin Inc","Nicholls Early Childhood Centre","Nicholls Early Childhood Centre, 40 Kelleway Avenue",NICHOLLS,ACT,2913,01/01/2012,
PR-00005826,,"CSIROCARE Black Mountain Inc","CSIROCare Black Mountain Early Childhood Centre","167 Wattle Street, 167 Wattle St",O'CONNOR,ACT,2602,01/01/2012,
PR-00005829,,"Enjoy Services Pty Ltd","Possum Magic Childcare","27 Astrolabe Street","RED HILL",ACT,2603,01/01/2012,
PR-00005832,,"Forrest School P&C Association Incorporated","Forrest School P&C Association Incorporated","Forrest Primary School, 9 Hobart Avenue",FORREST,ACT,2603,01/01/2012,
PR-00005833,,"Fraser Primary School Parents and Citizens Association Incorporated","Fraser Primary School Parents and Citizens Association Incorporated","Fraser Primary School, 177 Tillyard Dr",FRASER,ACT,2615,01/01/2012,
PR-00005834,,"French-Australian Preschool Association Incorporated","French Australian Preschool Association Incorporated","PO Box 3558",MANUKA,ACT,2603,01/01/2012,
