"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40007249,,"Felcon Enterprises Pty Ltd",,"38 Sugarwood St",BELLBOWRIE,QLD,4070,18/05/2016,
PR-40007256,,"BRIGHT LIGHTS ELC PTY LTD","Bright Lights Learning Centre","20 Bathurst St",GYMEA,NSW,2227,08/04/2016,
PR-40007259,,"Coolum Beach Christian College Ltd",,"PO Box 480","COOLUM BEACH",QLD,4573,06/06/2016,
PR-40007260,,"Tommies Childcare Centre Pty Ltd",,"250 Ipswich road",BURANDA,QLD,4102,24/06/2016,
PR-40007277,,"ST MONICAS SCHOOL","ST MONICA'S SCHOOL","2 Wingfield St",FOOTSCRAY,VIC,3011,15/06/2016,
PR-40007278,,"GUMBOOTS EARLY LEARNING CENTRE PTY LTD","Gumboots Early Learning Pty Ltd","730 Elizabeth Dr",SUNBURY,VIC,3429,04/07/2016,
PR-40007280,,"Memora Projects Pty Ltd","Creative Corner Family Day Care","PO Box 1908","SUNNYBANK HILLS",QLD,4109,08/07/2016,
PR-40007288,,"LITTLE ANGELZ ACADEMY PTY. LTD.","Little Angelz kids academy","10 Hanna St","POTTS HILL",NSW,2143,29/04/2016,
PR-40007305,,"Children In Learning Family Day Care Pty Ltd","CHILDREN IN LEARNING FAMILY DAY CARE","Salisbury Industrial Village, U 24  284 Musgrave Rd","COOPERS PLAINS",QLD,4108,13/06/2016,
PR-40007335,,"GSK Holdings Pty Ltd ATF GS Investment Trust","Bright Start For Kids Child Care Centre","PO Box 623",MOOREBANK,NSW,1875,01/04/2016,
PR-40007348,,"Ginobili Pty Ltd ATF Playbright Family Trust",,"107 Paine St",MAROUBRA,NSW,2035,05/04/2016,
PR-40007353,,"The Activity Centre Pty Ltd","The Activity Centre","U 1708  3 Herbert St","ST LEONARDS",NSW,2065,04/04/2016,
PR-40007372,,"ST PETERS SCHOOL CLAYTON","St. Peter's School","The Principal, St. Peter's School, 16 Mary Street",CLAYTON,VIC,3168,12/05/2016,
PR-40007386,,"CRESCENT FAMILY DAY CARE PTY. LTD.","Crescent Family Day care","U 64  12 Sutton St","NORTH MELBOURNE",VIC,3051,30/05/2016,
