"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00005067,,"Dormero Pty Ltd","Dormero Pty Ltd","P.O. Box 3017, Batehaven","BATEMANS BAY",NSW,2536,01/09/2009,
PR-00005068,,"Alice Posada","Alice Posada","37 Mallacoota Place",WOODCROFT,NSW,2767,01/09/2009,
PR-00005069,,"Rose of Sharon Child Care and Pre School Pty Ltd","Rose of Sharon Child Care and Pre School Pty Ltd","37 Mallacoota Place",WOODCROFT,NSW,2767,01/09/2009,
PR-00005071,,"Springwood and District Pre School Kindergarten Association Inc","Springwood and District Pre School Kindergarten Association Inc","PO Box 93",SPRINGWOOD,NSW,2777,01/09/2009,
PR-00005073,,"Heathdene Community Services Inc","Heathdene Community Services Inc","PO Box 266",ENGADINE,NSW,2233,01/09/2009,
PR-00005075,,"COROWA PRE SCHOOL ASSOCIATION INC","Corowa Preschool Association Incorporated","Betterment Parade",COROWA,NSW,2646,16/04/2010,
PR-00005076,,"Mikindi Pty Ltd","Mikindi Pty Ltd","PO Box 2035",WOOLOOWARE,NSW,2230,01/09/2009,
PR-00005077,,"Ms Deborah Prior","Deborah Sue Prior","PO Box 214",BRIGHTON-LE-SANDS,NSW,2216,01/09/2009,
PR-00005078,,"Naletran Pty Limited","Naletran Pty Limited","PO Box 214",BRIGHTON-LE-SANDS,NSW,2216,01/09/2009,
PR-00005088,,"The Trustees of The Roman Catholic Church for the Diocese Of Parramatta","The Trustees of The Roman Catholic Church for the Diocese Of Parramatta","Locked Bag 4","NORTH PARRAMATTA",NSW,1750,01/09/2009,
PR-00005096,,"Lina's Holdings Pty Ltd","Lina's Holdings Pty Ltd","42 Kara Street",SEFTON,NSW,2162,01/09/2009,
PR-00005097,,"Cooks Hill Preschool Incorporated","Cooks Hill Preschool Incorporated","Cooks Hill Pre School, 24 Dawson Street","COOKS HILL",NSW,2300,01/09/2009,
PR-00005098,,"Teddy Tammy's Childcare Pty Ltd","Teddy Tammy's Childcare Pty Ltd","84 Clarence Street","CONDELL PARK",NSW,2200,01/09/2009,
PR-00005099,,"Skilli Investments Pty Limited","Skilli Investments Pty Limited","126 Wilson Road",HINCHINBROOK,NSW,2168,01/09/2009,
